"Ingredient ID",4513,11215,11283,11510,11125,16359,12116,9322,11303,11530,11282,11165,9152,28306,1001
"Ingredient Description","Vegetable oil, palm kernel","Garlic, raw","Onions, cooked, boiled, drained, without salt","Sweet potato, cooked, boiled, without skin","Carrots, cooked, boiled, drained, without salt","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water","Nuts, coconut cream, canned, sweetened","Tamarinds, raw","Peas, edible-podded, frozen, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked","Onions, raw","Coriander (cilantro) leaves, raw","Lemon juice, raw","Bread, chapati or roti, plain, commercially prepared","Butter, salted"
"Portion size","cup","clove","medium","medium","carrot","100g","cup","cup, pulp","cup","medium","medium (2-1/2"" dia)","cup","lemon yields","piece","tbsp"
"Cryptoxanthin, beta",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,1.92,0,0.0,5.96
"Arginine",0.0,0.038040000000000004,0.17201999999999998,0.14496,0.06899999999999999,2.668,0.9608592718848001,0,0.13440000000000002,0.06396,0.1144,0,0,0,0.008804,4.374443271884799
"Water",0.0,3.5148,82.58840000000001,241.99259999999998,82.95639999999999,267.48,144.979651596368,0.7849987439999998,69.28,232.0764,98.021,1.8441999999999998,44.3088,134.64,4.507079999999999,1408.9743303403677
"Valine",0.0,0.01746,0.029140000000000003,0.22649999999999998,0.05152,1.192,0.3553177515824,0,0.2736,0.06642,0.0231,0,0,0,0.016188,2.2512457515824
"Threonine",0.0,0.00942,0.031020000000000002,0.22046,0.14444,1.052,0.2151924410992,0,0.0984,0.06642,0.0231,0,0,0,0.010792,1.8712444410992
"20:2 n-6 c,c",0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.00408,0,0.00408
"Retinol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,190.56399999999996,190.56399999999996
"18:1 c",0,0,0,0,0,0,0,0,0,0,0,0,0.00192,7.45824,4.821752,12.281912
"Lactose",0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0
"18:1 t",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10608000000000001,0.846888,0.952968
"Magnesium, Mg",0.0,1.5,10.34,54.36,9.2,96.0,85.07608136480002,2.29999632,22.4,22.14,11.0,0.52,2.88,252.96,0.568,571.2440776848
"Campesterol",0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
"Vitamin D",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.04,17.04
"Protein",0.0,0.38160000000000005,1.2784,4.1374,0.6992,28.16,5.855236188048,0.069999888,2.8,2.3369999999999997,1.2100000000000002,0.0426,0.16799999999999998,45.9,0.24139999999999998,93.28083607604799
"Aspartic acid",0.0,0.02934,0.06956,1.0117,0.14352,3.3280000000000003,0.575514668056,0,0.2288,0.36408,0.1001,0,0,0,0.018175999999999998,5.868790668056001
"Folate, DFE",0.0,0.18,14.1,18.12,12.88,164.0,70.0626552416,0.34999944,28.0,31.98,20.9,1.24,9.6,0,0.8519999999999999,372.2646546816
"Vitamin B-12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04828,0.04828
"Energy",469.79,8.94,41.36,229.52,32.2,552.0,1786.5977086608002,5.97499044,41.6,44.28,44.0,0.46,10.56,1211.76,203.628,4682.6706991008
"16:1 undifferentiated",0.0,0.0,0.0,0.0,0.00092,0.016,0.0,0.0,0.0,0.00246,0.0,4e-05,0.0,0.03264,0.27292399999999994,0.32498399999999994
"17:0",0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0204,0.15904,0.17944
"17:1",0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.012240000000000003,0,0.012240000000000003
"Vitamin D (D2 + D3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.42599999999999993,0.42599999999999993
"18:3i",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
"Lysine",0.0,0.016380000000000002,0.0611,0.17516,0.07636,1.892,0.2602327194688,0.0034749944400000003,0.2016,0.09594,0.0429,0,0,0,0.019028,2.8441757139088
"16:0",4.4145,0.00522,0.02632,0.09362,0.026680000000000002,0.716,5.529945288712001,0.00419999328,0.0504,0.02706,0.0374,0.00024,0.00576,6.711600000000001,6.161948,23.810893281992
"10:0",2.0165,0.00012,0.0,0.0,0.0,0.0,5.579990042456,0.0,0.0,0.0,0.0,0.0,0.0096,0.04488,0.718236,8.369326042455999
"Vitamin D3 (cholecalciferol)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42599999999999993,0.42599999999999993
"Vitamin B-6",0.0,0.0741,0.12126,0.4983000000000001,0.14076,0.4640000000000001,0.14512978585760003,0.0016499973600000001,0.1392,0.19434,0.132,0.00298,0.022080000000000002,1.1016000000000001,0.000852,3.0382517832176004
"Methionine",0.0,0.00456,0.01034,0.07550000000000001,0.01564,0.37200000000000005,0.11009845823679999,0.00034999943999999996,0.011200000000000002,0.02214,0.0022,0,0,0,0.0059640000000000006,0.6299924576768001
"Tocopherol, gamma",0,0,0.0,0.0,0.0092,0,0,0,0,0.5166,0.0,0,0,3.6312,0.0,4.157
"Carotene, beta",0.0,0.3,0.94,28520.88,7665.44,52.0,0.0,0.44999927999999995,608.0,720.78,1.1,78.6,0.48,0,44.872,37693.841999280005
"14:1",0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.00096,0.0,0,0.00096
"14:0",8.937999999999999,0.0,0.00094,0.0,0.0,0.012,15.1335335321856,0.00017499971999999998,0.0024,0.0,0.0044,0.0,0.00096,0.1428,2.111824,26.347032531905597
